"X","Area","Perim.","Major","Minor","Predicted_Brand"
24010,387690.292,2343.564,745.219,662.386,"H335"
23723,250635.131,1880.672,610.084,523.073,"H335"
23401,332049.093,2154.669,666.369,634.451,"H335"
23410,322609.069,2127.11,670.311,612.788,"H335"
23893,328402.946,2134.68,665.281,628.509,"H335"
23919,348182.044,2201.213,675.927,655.869,"BL-C(2)"
23641,231305.558,1797.579,564.954,521.294,"BL-C(2)"
23380,328902.419,2131.25,654.575,639.761,"BL-C(2)"
23749,288195.437,1994.754,619.616,592.209,"BL-C(2)"
23725,280253.83,1962.344,610.263,584.716,"BL-C(2)"
23724,276707.578,1958.204,610.183,577.393,"BL-C(2)"
23408,303978.758,2058.862,669.352,578.228,"H335"
23885,319712.131,2108.835,662.543,614.406,"BL-C(2)"
23676,251034.708,1882.387,591.749,540.14,"BL-C(2)"
23262,272911.589,1948.21,594.71,584.288,"BL-C(2)"
23814,309622.793,2071.282,639.936,616.037,"BL-C(2)"
23581,500521.053,2634.538,830.906,766.974,"Bullseye"
23864,298934.089,2054.722,654.283,581.728,"H335"
23285,284499.343,1980.619,610.944,592.912,"BL-C(2)"
23601,188301.005,1632.813,511.272,468.933,"BL-C(2)"
23688,270564.07,1942.355,595.786,578.216,"BL-C(2)"
23518,382595.676,2313.58,734.814,662.938,"H335"
23853,324357.222,2125.395,650.97,634.414,"BL-C(2)"
23429,354625.235,2219.488,679.925,664.077,"BL-C(2)"
23777,296586.57,2022.313,628.334,600.995,"H335"
23409,339541.176,2165.374,669.396,645.832,"BL-C(2)"
23675,256079.377,1882.387,591.707,551.034,"BL-C(2)"
23943,359669.904,2241.902,690.131,663.564,"H335"
23243,263371.671,1908.231,581.201,576.969,"BL-C(2)"
24047,514256.538,2716.21,820.806,797.718,"Bullseye"
23338,297185.936,2034.732,635.149,595.748,"H335"
23241,255829.641,1885.816,576.937,564.59,"BL-C(2)"
23471,342438.114,2201.213,699.239,623.544,"H335"
23612,210477.569,1728.326,533.046,502.749,"BL-C(2)"
23600,191347.785,1621.103,509.347,478.321,"BL-C(2)"
23739,287546.124,2003.034,616.325,594.029,"BL-C(2)"
23843,320910.864,2115.401,648.404,630.157,"BL-C(2)"
23632,235551.071,1854.411,555.029,540.356,"BL-C(2)"
23330,279604.516,1977.189,631.489,563.752,"H335"
23892,330450.782,2141.245,665.253,632.455,"H335"
23281,256079.377,1905.806,608.428,535.89,"H335"
23293,281502.51,1997.179,615.575,582.253,"BL-C(2)"
23200,198540.184,1675.217,517.699,488.294,"BL-C(2)"
23693,275958.369,1965.774,597.485,588.067,"BL-C(2)"
24008,421854.188,2428.078,744.252,721.693,"H335"
23209,214123.716,1723.476,531.315,513.124,"BL-C(2)"
23516,397230.21,2374.259,734.132,688.935,"H335"
23754,297635.461,2063.002,620.258,610.973,"BL-C(2)"
23703,264670.299,1924.08,602.208,559.588,"H335"
23375,297385.725,2041.298,652.403,580.383,"H335"
23258,268765.97,1928.22,592.628,577.434,"BL-C(2)"
23907,328752.577,2137.105,670.157,624.602,"H335"
23954,342188.378,2192.933,697.171,624.937,"H335"
23831,313418.782,2092.276,644.949,618.742,"BL-C(2)"
23961,383444.779,2308.436,701.504,695.958,"H335"
23280,270014.651,1936.5,607.676,565.751,"BL-C(2)"
24022,429146.481,2467.347,766.158,713.177,"H335"
23295,282701.244,1989.903,616.314,584.031,"BL-C(2)"
23513,411864.745,2391.529,730.872,717.503,"H335"
23197,199189.498,1666.937,508.553,498.701,"BL-C(2)"
23356,296236.939,2024.738,643.669,585.985,"H335"
23744,290592.904,1998.894,617.029,599.639,"BL-C(2)"
23745,293489.842,2010.603,617.195,605.453,"BL-C(2)"
23920,326155.322,2151.239,676.283,614.053,"H335"
23929,337643.181,2187.078,682.33,630.048,"H335"
23849,318663.239,2121.966,650.14,624.072,"BL-C(2)"
24014,421704.346,2482.486,748.266,717.567,"BL-C(2)"
23222,230656.244,1802.429,555.728,528.461,"BL-C(2)"
23231,227959.095,1773.449,561.909,516.537,"H335"
23958,374554.174,2286.021,699.923,681.356,"BL-C(2)"
24037,451372.993,2561.733,792.259,725.402,"H335"
23948,350829.246,2205.353,694.175,643.483,"H335"
23682,261423.729,1909.946,593.589,560.75,"H335"
23620,219518.015,1741.75,542.7,515.015,"BL-C(2)"
23726,284349.502,2008.888,610.505,593.025,"BL-C(2)"
23414,346533.786,2207.068,671.192,657.369,"BL-C(2)"
23443,338242.548,2169.514,686.433,627.394,"H335"
23912,333397.668,2166.084,672.692,631.039,"H335"
24053,598317.703,2967.793,935.203,814.585,"Bullseye"
24028,472250.929,2908.119,781.359,769.542,"Bullseye"
23227,239197.218,1821.708,558.358,545.449,"BL-C(2)"
23315,288445.173,2000.608,625.617,587.036,"BL-C(2)"
23198,201137.44,1672.792,511.032,501.135,"BL-C(2)"
23925,332448.671,2172.65,679.588,622.858,"H335"
23594,181857.814,1586.979,492.244,470.393,"BL-C(2)"
24027,412813.742,2417.373,780.981,673.014,"H335"
23879,316615.403,2102.981,660.82,610.041,"H335"
23298,278805.361,1965.774,617.052,575.294,"BL-C(2)"
23524,420755.349,2460.782,738.946,724.982,"H335"
23566,443880.91,2503.186,789.878,715.512,"H335"
23365,304827.86,2052.297,649.185,597.856,"H335"
23665,262372.727,1900.661,583.529,572.488,"BL-C(2)"
23250,265619.296,1920.651,587.679,575.479,"BL-C(2)"
23833,286647.074,2005.459,645.477,565.427,"H335"
24019,438736.347,2487.63,755.663,739.241,"BL-C(2)"
23373,327404.002,2142.665,651.542,639.811,"BL-C(2)"
23887,324756.8,2138.109,662.751,623.904,"H335"
23617,222614.742,1755.175,542.481,522.491,"BL-C(2)"
24042,447726.846,2522.171,803.289,709.661,"H335"
23800,295387.836,2030.593,635.794,591.543,"H335"
23761,299583.403,2043.012,622.976,612.289,"BL-C(2)"
23270,270514.123,1940.64,599.365,574.657,"BL-C(2)"
24035,449974.471,2527.315,788.66,726.454,"H335"
23341,309223.215,2063.002,635.657,619.383,"BL-C(2)"
23989,396331.16,2346.994,719.336,701.514,"H335"
23873,313718.465,2097.126,657.849,607.189,"H335"
23286,272212.328,1958.204,612.066,566.265,"H335"
23481,384293.881,2315.295,708.361,690.746,"H335"
23786,293439.895,2023.733,631.91,591.254,"H335"
23701,253382.228,1884.101,600.715,537.054,"H335"
23468,339541.176,2201.507,698.31,619.091,"H335"
23282,280054.041,1962.344,608.543,585.95,"BL-C(2)"
23806,308424.06,2077.137,637.141,616.343,"BL-C(2)"
23768,258476.844,1892.676,624.773,526.756,"H335"
23363,322509.175,2134.68,648.863,632.847,"BL-C(2)"
23383,308923.532,2071.282,656.516,599.123,"H335"
23275,276058.264,1945.074,605.283,580.701,"BL-C(2)"
23937,352177.821,2205.353,686.315,653.355,"BL-C(2)"
23334,292091.32,2024.738,633.699,586.875,"H335"
23844,314617.515,2087.131,648.855,617.37,"BL-C(2)"
23647,223913.37,1774.454,571.542,498.818,"H335"
23968,371057.869,2275.022,703.554,671.513,"BL-C(2)"
23539,425250.599,2421.807,748.944,722.945,"H335"
23485,371757.13,2283.596,710.074,666.6,"BL-C(2)"
23986,374104.649,2339.546,717.532,663.838,"H335"
23568,431194.317,2476.925,793.375,691.998,"H335"
23593,182207.445,1578.699,487.594,475.793,"BL-C(2)"
23364,315067.04,2107.121,649.137,617.983,"BL-C(2)"
23537,388239.711,2317.72,748.325,660.571,"H335"
23872,313019.204,2094.701,657.391,606.258,"H335"
23277,258476.844,1899.951,605.56,543.469,"H335"
23477,373904.86,2285.017,704.888,675.384,"BL-C(2)"
23678,251084.656,1880.672,592.075,539.95,"BL-C(2)"
23225,232654.133,1793.439,556.606,532.197,"BL-C(2)"
23895,337143.709,2171.229,665.917,644.622,"BL-C(2)"
