"X","Area","Perim.","Major","Minor","Predicted_Brand"
69228,1684869.443,5572.418,1851.787,1158.472,"Reloader23"
69171,1856987.55,5883.675,1987.507,1189.626,"Reloader23"
69268,1933256.949,5784.022,2084.319,1180.961,"Reloader23"
69293,2255066.863,7127.698,2525.174,1137.047,"Reloader23"
69198,2937945.203,7846.973,3054.278,1224.744,"Reloader23"
69292,2300568.777,6521.155,2429.904,1205.469,"Reloader23"
69194,2504453.313,6858.135,2626.722,1213.973,"Reloader23"
69180,2015969.539,6152.822,2122.559,1209.301,"Reloader23"
69298,2529926.394,6834.421,2657.202,1212.254,"Reloader23"
69246,1829067.056,5686.205,1978.034,1177.351,"Reloader23"
69223,1802794.821,5826.426,1835.163,1250.783,"RedDot"
69290,2246925.467,6478.335,2373.013,1205.587,"Reloader23"
69299,2472287.306,7101.143,2776.379,1133.784,"Reloader23"
69276,2296273.316,6439.655,2158.275,1354.649,"RedDot"
69286,2097533.343,6208.65,2309.314,1156.475,"Reloader23"
69169,1844850.377,5928.504,1983.354,1184.325,"Reloader23"
69295,2327889.904,6764.458,2573.262,1151.83,"Reloader23"
69288,2195130.204,6325.401,2313.311,1208.193,"Reloader23"
69294,2315303.206,6688.935,2546.789,1157.511,"Reloader23"
69197,2694552.418,7563.326,2920.467,1174.747,"Reloader23"
69188,2253218.816,6473.485,2328.789,1231.922,"Reloader23"
69148,1729372.413,6077.42,1817.496,1211.505,"Reloader23"
69192,2443817.393,6871.265,2534,1227.926,"Reloader23"
69191,2338079.136,6660.371,2490.759,1195.192,"Reloader23"
69195,2421590.882,6774.037,2633.28,1170.884,"Reloader23"
69296,2430331.645,7465.804,2638.937,1172.591,"Reloader23"
69183,2035399.006,6379.809,2158.287,1200.744,"Reloader23"
69300,2763079.999,7660.797,3101.094,1134.458,"Reloader23"
69301,2881954.373,7993.221,3116.628,1177.368,"Reloader23"
69193,2426635.551,6884.689,2602.726,1187.097,"Reloader23"
69297,2011873.868,6413.223,2640.072,970.276,"Reloader23"
